Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11249,BROOKLYN,Unspecified BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,10 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11693,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11236,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,VERMIN,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11416,Ozone Park,09 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10019,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,NONCONST,RUBBISH,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11357,Whitestone,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11378,Maspeth,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,10470,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,GENERAL,WINDOWS,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11201,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10001,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11217,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11435,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11416,Ozone Park,09 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11427,Queens Village,13 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10456,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11216,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11228,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11103,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10455,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11375,Forest Hills,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,RUBBISH,10458,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10473,BRONX,09 BRONX,BRONX
Department of Health and Mental Hygiene,Rodent,Signs of Rodents,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11365,Fresh Meadows,08 QUEENS,QUEENS
Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Rat Sighting,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Rodent,Signs of Rodents,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11236,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11423,Hollis,12 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10033,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11378,Maspeth,05 QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11238,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10003,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11377,Woodside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10470,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11249,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11427,Queens Village,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11415,Kew Gardens,09 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11201,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11232,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11206,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11378,Maspeth,05 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,VERMIN,10473,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CABINETS,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,RADIATOR,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10470,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11228,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10014,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11218,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11377,Woodside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11422,Rosedale,13 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11423,Hollis,12 QUEENS,QUEENS
