Agency,Business Title,Civil Service Title,Level,Division/Work Unit
ADMIN FOR CHILDREN'S SVCS,Deputy Commissioner for Early Care and Education,ADMINISTRATIVE STAFF ANALYST (,M7,Early Care Education
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant/College Aide IB (Junior-Senior), Office of the Agency Chief Contracting Officer",COLLEGE AIDE (ALL CITY DEPTS),01,Acco/Contracts
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant/College Aide IB (Junior-Senior), Office of the Agency Chief Contracting Officer",COLLEGE AIDE (ALL CITY DEPTS),01,Acco/Contracts
DEPT OF ENVIRONMENT PROTECTION,Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,02,I.F.A.-Sources Construction
DEPT OF HEALTH/MENTAL HYGIENE,Principal Administrative Associate,PRINCIPAL ADMINISTRATIVE ASSOC,02,OCME-DNA
DEPT OF INFO TECH & TELECOMM,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,00,311 Operations
DEPT OF CITYWIDE ADMIN SVCS,Investigator,INVESTIGATOR,00,Investigations
CONSUMER AFFAIRS,Executive Director,ADMINISTRATIVE STAFF ANALYST (,M4,Research & Investigation Unit
CONSUMER AFFAIRS,Executive Director,ADMINISTRATIVE STAFF ANALYST (,M4,Research & Investigation Unit
DEPARTMENT OF CITY PLANNING,Staten Island Borough Office CITY PLANNER II,CITY PLANNER,02,Default
DEPT OF YOUTH & COMM DEV SRVS,OST Request For Proposals(RFP) Evaluators,SUMMER GRADUATE INTERN,00,Procurement
DEPT OF YOUTH & COMM DEV SRVS,OST Request For Proposals(RFP) Evaluators,SUMMER GRADUATE INTERN,00,Procurement
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,PROJECT MANAGER INTERN#,00,WSO-Executive Div/Project Mgmt
NYC HOUSING AUTHORITY,Assistant Resident Buildings Supt,ASSISTANT RESIDENT BUILDING SU,00,Brooklyn Property Management
DEPT OF INFO TECH & TELECOMM,IT Asset and Configuration Administrator,COMPUTER ASSOC (SOFTWARE),03,IT Svcs/IT Service Mgmt
DEPT OF INFO TECH & TELECOMM,IT Asset and Configuration Administrator,COMPUTER ASSOC (SOFTWARE),03,IT Svcs/IT Service Mgmt
DEPT OF CITYWIDE ADMIN SVCS,Senior Budget Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Budget Control
DEPT OF CITYWIDE ADMIN SVCS,Senior Budget Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Budget Control
DEPT OF DESIGN & CONSTRUCTION,Associate Commissioner â€“ Client Programs,ADMINISTRATIVE ENGINEER,M5,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Associate Commissioner â€“ Client Programs,ADMINISTRATIVE ENGINEER,M5,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Associate Commissioner â€“ Client Programs,ADMINISTRATIVE PROJECT MANAGER,M5,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Associate Commissioner â€“ Client Programs,ADMINISTRATIVE PROJECT MANAGER,M5,Pub Bldgs/Various
DEPT OF CITYWIDE ADMIN SVCS,City Custodial Assistant,CITY CUSTODIAL ASSISTANT,00,Asset Mgmt/Man Muni Bldg
DEPT OF CITYWIDE ADMIN SVCS,City Custodial Assistant,CITY CUSTODIAL ASSISTANT,00,Asset Mgmt/Man Muni Bldg
DEPT OF INFO TECH & TELECOMM,Web Producer and Copywriter,COMPUTER PROGRAMMER ANALYST,01,Web & New Media Operations
DEPT OF ENVIRONMENT PROTECTION,Asset Manager,ADMINISTRATIVE PROJECT MANAGER,M2,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Asset Manager,ADMINISTRATIVE PROJECT MANAGER,M2,Croton Filtration Plant
BUSINESS INTEGRITY COMMISSION,Senior Licensing Specialist,COMMUNITY ASSOCIATE,00,Default
BUSINESS INTEGRITY COMMISSION,Senior Licensing Specialist,COMMUNITY ASSOCIATE,00,Default
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Office of External Affairs",CITY RESEARCH SCIENTIST,01,OEA Administration
DEPT OF INFO TECH & TELECOMM,Web Producer and Copywriter,COMPUTER PROGRAMMER ANALYST,01,Web & New Media Operations
DEPT OF HEALTH/MENTAL HYGIENE,Special Assistant to the Assistant Commissioner,CITY RESEARCH SCIENTIST,01,"Alcohol, Drug Prev & Treatment"
DEPT OF HEALTH/MENTAL HYGIENE,Special Assistant to the Assistant Commissioner,CITY RESEARCH SCIENTIST,01,"Alcohol, Drug Prev & Treatment"
DEPT OF CITYWIDE ADMIN SVCS,STATIONARY ENGINEER,STATIONARY ENGINEER,00,Asset Mgmt/OEM Building
DEPT OF CITYWIDE ADMIN SVCS,STATIONARY ENGINEER,STATIONARY ENGINEER,00,Asset Mgmt/OEM Building
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Office of External Affairs",CITY RESEARCH SCIENTIST,01,OEA Administration
DEPARTMENT OF FINANCE,Database Administrator,COMPUTER SYSTEMS MANAGER,M1,Microsoft Platfrom Apps
DEPARTMENT OF FINANCE,Database Administrator,COMPUTER SYSTEMS MANAGER,M1,Microsoft Platfrom Apps
HRA/DEPT OF SOCIAL SERVICES,RESEARCH SCIENTIST,CITY RESEARCH SCIENTIST,02,Off Of Eval/Research-NM
HRA/DEPT OF SOCIAL SERVICES,RESEARCH SCIENTIST,CITY RESEARCH SCIENTIST,02,Off Of Eval/Research-NM
DEPT OF CITYWIDE ADMIN SVCS,Expense/Revenue Program Analyst,ACCOUNTANT,01,Financial Services
DEPT OF CITYWIDE ADMIN SVCS,Expense/Revenue Program Analyst,ACCOUNTANT,01,Financial Services
DEPARTMENT FOR THE AGING,SUMMER GRADUATE INTERN,SUMMER GRADUATE INTERN,00,Bureau of Community Services
DEPARTMENT FOR THE AGING,SUMMER GRADUATE INTERN,SUMMER GRADUATE INTERN,00,Bureau of Community Services
DEPARTMENT FOR THE AGING,SUMMER COLLEGE INTERN,SUMMER COLLEGE INTERN,00,Bureau of Community Services
DEPT OF HEALTH/MENTAL HYGIENE,"NFP Supervisor Jamaica Team #1, Bureau of Maternal Infant and Reproductive Health",ADMINISTRATIVE PUBLIC HEALTH N,M1,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,"NFP Supervisor Jamaica Team #1, Bureau of Maternal Infant and Reproductive Health",ADMINISTRATIVE PUBLIC HEALTH N,M1,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,"City Medical Specialist, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,01,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,"City Medical Specialist, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,01,SH Medical
DEPARTMENT OF FINANCE,"Special Assistant to Asst. Commissioner, Property Valuation",ADMINISTRATIVE STAFF ANALYST (,00,Property - A/C Office
DEPARTMENT FOR THE AGING,SUMMER COLLEGE INTERN,SUMMER COLLEGE INTERN,00,Bureau of Community Services
DEPT OF ENVIRONMENT PROTECTION,Computer Specialist (Operations),COMPUTER SPECIALIST (OPERATION,00,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Computer Specialist (Operations),COMPUTER SPECIALIST (OPERATION,00,Croton Filtration Plant
HOUSING PRESERVATION & DVLPMNT,Senior Project Manager/Underwriter for ANCP,HOUSING DEVELOPMENT SPECIALIST,01,Disposition Programs
HOUSING PRESERVATION & DVLPMNT,Senior Project Manager/Underwriter for ANCP,HOUSING DEVELOPMENT SPECIALIST,01,Disposition Programs
DEPT OF CITYWIDE ADMIN SVCS,LEASE NEGOTIATOR,ADMINISTRATIVE STAFF ANALYST (,00,Asset Mgmt/Acquisition&Leasing
DEPT OF CITYWIDE ADMIN SVCS,LEASE NEGOTIATOR,ADMINISTRATIVE STAFF ANALYST (,00,Asset Mgmt/Acquisition&Leasing
DEPARTMENT OF FINANCE,"Special Assistant to Asst. Commissioner, Property Valuation",ADMINISTRATIVE STAFF ANALYST (,00,Property - A/C Office
CONSUMER AFFAIRS,Administrative Law Judge,AGENCY ATTORNEY,03,Adjudication
CONSUMER AFFAIRS,Administrative Law Judge,AGENCY ATTORNEY,03,Adjudication
DEPT OF HEALTH/MENTAL HYGIENE,Communicable Disease Liaison,PUBLIC HEALTH NURSE,03,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Communicable Disease Liaison,PUBLIC HEALTH NURSE,03,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,"Project Coordinator/College Aide (Junior-Senior) ,Bureau of Operations",COLLEGE AIDE (ALL CITY DEPTS),01,Operations
DEPT OF HEALTH/MENTAL HYGIENE,"Project Coordinator/College Aide (Junior-Senior) ,Bureau of Operations",COLLEGE AIDE (ALL CITY DEPTS),01,Operations
DEPARTMENT OF BUSINESS SERV.,QUALITY ASSURANCE MANAGER,ADM MANAGER-NON-MGRL FRM M1/M2,00,WDD Quality Assurance
DEPARTMENT OF BUSINESS SERV.,QUALITY ASSURANCE MANAGER,ADM MANAGER-NON-MGRL FRM M1/M2,00,WDD Quality Assurance
HOUSING PRESERVATION & DVLPMNT,Project Manager / Participation Loan Program,HOUSING DEVELOPMENT SPECIALIST,01,Preservation Programs
HOUSING PRESERVATION & DVLPMNT,Project Manager / Participation Loan Program,HOUSING DEVELOPMENT SPECIALIST,01,Preservation Programs
DEPT OF HEALTH/MENTAL HYGIENE,Desktop Support Technician III,COMPUTER ASSOC (TECH SUPP),03,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,Desktop Support Technician III,COMPUTER ASSOC (TECH SUPP),03,OCME-Admin
ADMIN FOR CHILDREN'S SVCS,Executive Director of Quality Assurance for Juvenile Justice Programs,ADMINISTRATIVE DIRECTOR OF SOC,M2,Agency Program Assistance(Qa)
DEPT OF INFO TECH & TELECOMM,"Supervisor, Mainframe Operations",COMPUTER ASSOC (OPERATIONS),01,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,"Supervisor, Mainframe Operations",COMPUTER ASSOC (OPERATIONS),01,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Backup Engineer,COMPUTER SPECIALIST (SOFTWARE),03,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Backup Engineer,COMPUTER SPECIALIST (SOFTWARE),03,IT Svcs Delivery
ADMIN FOR CHILDREN'S SVCS,Executive Director of Quality Assurance for Juvenile Justice Programs,ADMINISTRATIVE DIRECTOR OF SOC,M2,Agency Program Assistance(Qa)
CONSUMER AFFAIRS,Accounts Receivable Associate,COMMUNITY ASSOCIATE,00,Collection
CONSUMER AFFAIRS,Accounts Receivable Associate,COMMUNITY ASSOCIATE,00,Collection
NYC HOUSING AUTHORITY,Community Associate,COMMUNITY ASSOCIATE,00,Family Services Department
NYC HOUSING AUTHORITY,Community Associate,COMMUNITY ASSOCIATE,00,Family Services Department
CONSUMER AFFAIRS,Assistant Commissioner of Enforcement and Consumer Services,ADMINISTRATIVE STAFF ANALYST (,M5,Commissioner'S Office
CONSUMER AFFAIRS,Assistant Commissioner of Enforcement and Consumer Services,ADMINISTRATIVE STAFF ANALYST (,M5,Commissioner'S Office
HRA/DEPT OF SOCIAL SERVICES,SPECIAL ASSISTANT,COMMUNITY COORDINATOR,00,HHS Connect-NM
HRA/DEPT OF SOCIAL SERVICES,SPECIAL ASSISTANT,COMMUNITY COORDINATOR,00,HHS Connect-NM
HRA/DEPT OF SOCIAL SERVICES,ASSISTANT DIRECTOR FOR AUDITS,ADMINISTRATIVE MANAGEMENT AUDI,M1,Off Of Supp Accountability-NM
NYC HOUSING AUTHORITY,Community Associate,COMMUNITY ASSOCIATE,00,Family Services Department
NYC HOUSING AUTHORITY,Community Associate,COMMUNITY ASSOCIATE,00,Family Services Department
DEPT OF HEALTH/MENTAL HYGIENE,"Data Collection/College Aide (Junior-Senior), Veterinary and Pest Control",COLLEGE AIDE (ALL CITY DEPTS),01,off of Veter Public Health S
DEPT OF HEALTH/MENTAL HYGIENE,"Data Collection/College Aide (Junior-Senior), Veterinary and Pest Control",COLLEGE AIDE (ALL CITY DEPTS),01,off of Veter Public Health S
HRA/DEPT OF SOCIAL SERVICES,ASSISTANT DIRECTOR FOR AUDITS,ADMINISTRATIVE MANAGEMENT AUDI,M1,Off Of Supp Accountability-NM
DEPARTMENT OF CITY PLANNING,Office Manager for City Planning's Queens Borough Office,PRINCIPAL ADMINISTRATIVE ASSOC,02,Queens Office
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of STD Prevention and Control",PUBLIC HEALTH ADVISER,02,STD Case Invstgn & Partner Srv
DEPT OF HEALTH/MENTAL HYGIENE,"Data Collection, Office of Veterinary and Pest Control",COLLEGE AIDE (ALL CITY DEPTS),01,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,"Data Collection, Office of Veterinary and Pest Control",COLLEGE AIDE (ALL CITY DEPTS),01,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,"Data Manager, MIRH Nurse Family Partnership",CITY RESEARCH SCIENTIST,02,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of STD Prevention and Control",PUBLIC HEALTH ADVISER,02,STD Case Invstgn & Partner Srv
DEPT OF INFO TECH & TELECOMM,ECTP ITSM Manager,COMPUTER SYSTEMS MANAGER,M2,ECTP
DEPT OF INFO TECH & TELECOMM,ECTP ITSM Manager,COMPUTER SYSTEMS MANAGER,M2,ECTP
DEPT OF HEALTH/MENTAL HYGIENE,"Data Manager, MIRH Nurse Family Partnership",CITY RESEARCH SCIENTIST,02,MIRH Nurse Family Partnership
DEPT OF HOMELESS SERVICES,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Office of Emergency Operations
DEPT OF HOMELESS SERVICES,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Office of Emergency Operations
OFFICE OF EMERGENCY MANAGEMENT,Learning Technology Specialist,EMERGENCY PREPAREDNESS SPECIAL,02,Planning
EQUAL EMPLOY PRACTICES COMM,EEO Research Assistant,RESEARCH ASSISTANT,00,Equal Employment Practices C
EQUAL EMPLOY PRACTICES COMM,EEO Research Assistant,RESEARCH ASSISTANT,00,Equal Employment Practices C
DEPT OF INFO TECH & TELECOMM,HR Computer Analyst Trainee,COMPUTER PROGRAMMER ANALYST,00,Human Resources
OFFICE OF EMERGENCY MANAGEMENT,Learning Technology Specialist,EMERGENCY PREPAREDNESS SPECIAL,02,Planning
DEPT OF HEALTH/MENTAL HYGIENE,"Special Projects Administrator, Bureau of Food Safety and Community Sanitation",ADMINISTRATIVE PUBLIC HEALTH S,M1,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,"Special Projects Administrator, Bureau of Food Safety and Community Sanitation",ADMINISTRATIVE PUBLIC HEALTH S,M1,Food Safety & Community Sanit
DEPARTMENT OF BUILDINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Ad Exc Borough Operations
DEPT OF INFO TECH & TELECOMM,HR Computer Analyst Trainee,COMPUTER PROGRAMMER ANALYST,00,Human Resources
DEPT OF CITYWIDE ADMIN SVCS,Tests & Measurement Specialist,TESTS AND MEASUREMENT SPECIAL,02,Uniformed Serv Exam Gr (USEG)
DEPT OF CITYWIDE ADMIN SVCS,Tests & Measurement Specialist,TESTS AND MEASUREMENT SPECIAL,02,Uniformed Serv Exam Gr (USEG)
DEPT OF HEALTH/MENTAL HYGIENE,"Program Consultant, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",SPECIAL CONSULTANT (MENTAL HEA,02,"Alcohol, Drug Prev & Treatment"
DEPT OF HEALTH/MENTAL HYGIENE,"Program Consultant, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",SPECIAL CONSULTANT (MENTAL HEA,02,"Alcohol, Drug Prev & Treatment"
DEPARTMENT OF BUILDINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Ad Exc Borough Operations
NYC HOUSING AUTHORITY,Assistant Emergency Coordinator,ADMINISTRATIVE HOUSING SUPERIN,M1,Emergency Services Department
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,01,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,01,Food Safety & Community Sanit
DEPT OF DESIGN & CONSTRUCTION,College Aide - Clerk,COLLEGE AIDE (ALL CITY DEPTS),01,Law
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide IA (Freshman - Sophomore),  Bureau of Food Safety and Community Sanitation",COLLEGE AIDE (ALL CITY DEPTS),01,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide IA (Freshman - Sophomore),  Bureau of Food Safety and Community Sanitation",COLLEGE AIDE (ALL CITY DEPTS),01,Food Safety & Community Sanit
DEPT OF DESIGN & CONSTRUCTION,College Aide - Safety and Site,COLLEGE AIDE (ALL CITY DEPTS),01,Safety&Site Supp/QA
DEPT OF DESIGN & CONSTRUCTION,College Aide - Safety and Site,COLLEGE AIDE (ALL CITY DEPTS),01,Safety&Site Supp/QA
DEPT OF DESIGN & CONSTRUCTION,College Aide - Clerk,COLLEGE AIDE (ALL CITY DEPTS),01,Law
NYC HOUSING AUTHORITY,HOUSING ASSISTANT SPANISH,HOUSING ASSISTANT (BILINGUAL),00,Application & Tenancy Adm Dept
NYC HOUSING AUTHORITY,HOUSING ASSISTANT CHINESE,HOUSING ASSISTANT (BILINGUAL),00,Application & Tenancy Adm Dept
NYC HOUSING AUTHORITY,HOUSING ASSISTANT RUSSIAN,HOUSING ASSISTANT (BILINGUAL),00,Application & Tenancy Adm Dept
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide (Junior - Senior), Bureau of Food Safety and Community Sanitation",COLLEGE AIDE (ALL CITY DEPTS),01,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide (Junior - Senior), Bureau of Food Safety and Community Sanitation",COLLEGE AIDE (ALL CITY DEPTS),01,Food Safety & Community Sanit
DEPT OF INFO TECH & TELECOMM,Mobile Device Management Administrator,COMPUTER ASSOC (SOFTWARE),02,Wireless Technologies
DEPT OF INFO TECH & TELECOMM,Mobile Device Management Administrator,COMPUTER ASSOC (SOFTWARE),02,Wireless Technologies
DEPT OF CITYWIDE ADMIN SVCS,Investigator,INVESTIGATOR,00,Investigations
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,PROJECT MANAGER INTERN#,00,WSO-Executive Div/Project Mgmt
ADMIN TRIALS AND HEARINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant, Bureau of Early Intervention",CLERICAL AIDE,00,Early Intervention
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant, Bureau of Early Intervention",CLERICAL AIDE,00,Early Intervention
CONSUMER AFFAIRS,Assistant Director of Licensing,COMMUNITY COORDINATOR,00,Data Processing/311/Renewals
DEPT OF INFO TECH & TELECOMM,Contracts Counsel,AGENCY ATTORNEY,04,General Counsel
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Fitness Review
DEPARTMENT OF FINANCE,Director of Intergovernmental Affairs,ADMINISTRATIVE STAFF ANALYST (,M4,Intergovernmental Affairs
DEPARTMENT OF FINANCE,Director of Intergovernmental Affairs,ADMINISTRATIVE STAFF ANALYST (,M4,Intergovernmental Affairs
NYC HOUSING AUTHORITY,General Counsel & Executive Vice President for Legal Affairs,EXECUTIVE AGENCY COUNSEL,M7,Law Department
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Fitness Review
DEPT OF HEALTH/MENTAL HYGIENE,"Clinical Care Coordinator, Bureau of Mental Health",SOCIAL WORKER,00,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Clinical Care Coordinator, Bureau of Mental Health",SOCIAL WORKER,00,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Consultant Public Health Social Worker,CONSULTANT (PUBLIC HEALTH-SOCI,00,CHS Mental Health
NYC HOUSING AUTHORITY,General Counsel & Executive Vice President for Legal Affairs,EXECUTIVE AGENCY COUNSEL,M7,Law Department
NYC HOUSING AUTHORITY,Caretaker X,CARETAKER (HA),00,Queens-SI Property Management
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Brooklyn Office
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Brooklyn Office
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
DEPT OF HOMELESS SERVICES,Graduate Intern,SUMMER GRADUATE INTERN,00,Adults/Placement & Facilitatio
DEPT OF HOMELESS SERVICES,Graduate Intern,SUMMER GRADUATE INTERN,00,Adults/Placement & Facilitatio
DEPT OF INFO TECH & TELECOMM,ECTP Program Counsel,AGENCY ATTORNEY,04,ECTP
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant to The Assistant Commissioner, Bureau of Immunization",CITY RESEARCH SCIENTIST,02,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant to The Assistant Commissioner, Bureau of Immunization",CITY RESEARCH SCIENTIST,02,Immunization Surveillance
DEPARTMENT OF BUILDINGS,Development & Application Associate,CLERICAL ASSOCIATE,02,Citywide
DEPT OF INFO TECH & TELECOMM,ECTP Program Counsel,AGENCY ATTORNEY,04,ECTP
FINANCIAL INFO SVCS AGENCY,MAINFRAME SYSTEM PROGRAMMER,COMPUTER SYSTEMS MANAGER,M1,Shared System - Tech Service
FINANCIAL INFO SVCS AGENCY,MAINFRAME SYSTEM PROGRAMMER,COMPUTER SYSTEMS MANAGER,M1,Shared System - Tech Service
DEPT OF HEALTH/MENTAL HYGIENE,Graphic Designer,ADMINISTRATIVE GRAPHIC ARTIST,M1,Public Information
DEPT OF HEALTH/MENTAL HYGIENE,Graphic Designer,ADMINISTRATIVE GRAPHIC ARTIST,M1,Public Information
ADMIN FOR CHILDREN'S SVCS,Executive Director for Program Development Design and Management	,ADMINISTRATIVE STAFF ANALYST (,00,Early Care Prog Dvlopment (ECE
ADMIN FOR CHILDREN'S SVCS,Executive Director for Program Development Design and Management	,ADMINISTRATIVE STAFF ANALYST (,00,Early Care Prog Dvlopment (ECE
FINANCIAL INFO SVCS AGENCY,MAINFRAME SYSTEM PROGRAMMER,COMPUTER SYSTEMS MANAGER,M1,Shared System - Tech Service
FINANCIAL INFO SVCS AGENCY,MAINFRAME SYSTEM PROGRAMMER,COMPUTER SYSTEMS MANAGER,M1,Shared System - Tech Service
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,01,Child Care
DEPT OF ENVIRONMENT PROTECTION,P/T Assistant Coordinator,CLERICAL ASSOCIATE,01,Administration/Personnel Srv
DEPT OF ENVIRONMENT PROTECTION,P/T Assistant Coordinator,CLERICAL ASSOCIATE,01,Administration/Personnel Srv
DEPARTMENT OF TRANSPORTATION,"Assistant Commissioner, Roadway Capital Program Management",ADMINISTRATIVE PROJECT MANAGER,M3,Financial Management &Analysis
DEPARTMENT OF TRANSPORTATION,"Assistant Commissioner, Roadway Capital Program Management",ADMINISTRATIVE PROJECT MANAGER,M3,Financial Management &Analysis
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,01,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,01,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,01,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant to the Assistant Commissioner, Bureau of Vital Statistics and Records",CITY RESEARCH SCIENTIST,01,Vital Statistics/Vital Recor
DEPARTMENT OF TRANSPORTATION,Assistant Commissioner for Major Projects Delivery,ADMINISTRATIVE STAFF ANALYST (,M4,Financial Management &Analysis
DEPARTMENT OF TRANSPORTATION,Assistant Commissioner for Major Projects Delivery,ADMINISTRATIVE STAFF ANALYST (,M4,Financial Management &Analysis
DEPARTMENT OF TRANSPORTATION,Assistant Traffic Engineer,ASSISTANT HIGHWAY TRANSPORTATI,00,Traffic Planning
DEPARTMENT OF TRANSPORTATION,Assistant Traffic Engineer,ASSISTANT HIGHWAY TRANSPORTATI,00,Traffic Planning
